Формула z = cos(x)*pow(x,4)*pow(y,2)+sin(x*y)
x>=-4 && x<=1 x+=0.1, y>=-1 && y<=4 y+=0.2

 																		Матрица значений Z

Y/X	-4	-3,9	-3,8	-3,7	-3,6	-3,5	-3,4	-3,3	-3,2	-3,1	-3	-2,9	-2,8	-2,7	-2,6	-2,5	-2,4	-2,3	-2,2	-2,1	-2	-1,9	-1,8	-1,7	-1,6	-1,5	-1,4	-1,3	-1,2	-1,1	-1	-0,9	-0,8	-0,7	-0,6	-0,5	-0,4	-0,3	-0,2	-0,1	0	0,1	0,2	0,3	0,4	0,5	0,6	0,7	0,8	0,9	
-1	-168,1	-168,6	-165,5	-159,5	-151,1	-140,9	-129,5	-117,3	-104,7	-92,2	-80	-68,4	-57,6	-47,6	-38,6	-30,7	-23,8	-17,9	-13	-9	-5,7	-3,3	-1,4	-0,1	0,8	1,4	1,6	1,7	1,7	1,6	1,4	1,2	1	0,8	0,7	0,5	0,4	0,3	0,2	0,1	-0	-0,1	-0,2	-0,3	-0,4	-0,4	-0,5	-0,5	-0,4	-0,4	
-0,8	-107,2	-107,5	-105,5	-101,5	-96,1	-89,6	-82,3	-74,5	-66,4	-58,4	-50,6	-43,2	-36,3	-29,9	-24,2	-19,1	-14,7	-11	-7,8	-5,3	-3,3	-1,7	-0,5	0,3	0,8	1,2	1,3	1,4	1,3	1,2	1,1	0,9	0,8	0,6	0,5	0,4	0,3	0,2	0,2	0,1	-0	-0,1	-0,2	-0,2	-0,3	-0,4	-0,4	-0,4	-0,4	-0,4	
-0,6	-59,6	-59,7	-58,6	-56,4	-53,4	-49,7	-45,6	-41,2	-36,7	-32,3	-27,9	-23,7	-19,9	-16,3	-13,1	-10,3	-7,8	-5,7	-4	-2,6	-1,5	-0,6	0	0,5	0,8	0,9	1	1	0,9	0,9	0,8	0,7	0,6	0,5	0,4	0,3	0,2	0,2	0,1	0,1	-0	-0,1	-0,1	-0,2	-0,2	-0,3	-0,3	-0,3	-0,4	-0,4	
-0,4	-25,8	-25,9	-25,4	-24,4	-23,1	-21,5	-19,7	-17,8	-15,8	-13,8	-11,9	-10,1	-8,4	-6,8	-5,4	-4,2	-3,1	-2,2	-1,4	-0,8	-0,3	0	0,3	0,5	0,6	0,6	0,6	0,6	0,6	0,5	0,5	0,4	0,4	0,3	0,3	0,2	0,2	0,1	0,1	0	-0	-0	-0,1	-0,1	-0,2	-0,2	-0,2	-0,2	-0,3	-0,3	
-0,2	-6	-6	-5,9	-5,7	-5,4	-5	-4,5	-4,1	-3,6	-3,1	-2,6	-2,2	-1,8	-1,4	-1,1	-0,8	-0,5	-0,3	-0,1	0	0,1	0,2	0,3	0,3	0,3	0,3	0,3	0,3	0,3	0,2	0,2	0,2	0,2	0,1	0,1	0,1	0,1	0,1	0	0	-0	-0	-0	-0,1	-0,1	-0,1	-0,1	-0,1	-0,1	-0,2	
-0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	
0,2	-7,4	-7,4	-7,3	-7	-6,7	-6,3	-5,8	-5,3	-4,8	-4,3	-3,8	-3,3	-2,8	-2,4	-2,1	-1,7	-1,4	-1,2	-1	-0,8	-0,7	-0,5	-0,4	-0,4	-0,3	-0,3	-0,3	-0,2	-0,2	-0,2	-0,2	-0,2	-0,1	-0,1	-0,1	-0,1	-0,1	-0,1	-0	-0	0	0	0	0,1	0,1	0,1	0,1	0,1	0,2	0,2	
0,4	-27,8	-27,9	-27,4	-26,4	-25,1	-23,5	-21,6	-19,7	-17,7	-15,7	-13,8	-11,9	-10,2	-8,6	-7,1	-5,8	-4,7	-3,8	-3	-2,3	-1,8	-1,4	-1	-0,8	-0,6	-0,5	-0,4	-0,4	-0,3	-0,3	-0,3	-0,3	-0,3	-0,2	-0,2	-0,2	-0,2	-0,1	-0,1	-0	0	0	0,1	0,1	0,2	0,2	0,3	0,3	0,4	0,4	
0,6	-60,9	-61,2	-60,1	-58	-55,1	-51,5	-47,4	-43,1	-38,6	-34,2	-29,8	-25,7	-21,8	-18,3	-15,1	-12,3	-9,8	-7,7	-5,9	-4,5	-3,3	-2,4	-1,7	-1,2	-0,9	-0,7	-0,5	-0,4	-0,4	-0,4	-0,4	-0,4	-0,4	-0,3	-0,3	-0,3	-0,2	-0,2	-0,1	-0,1	0	0,1	0,1	0,2	0,2	0,3	0,4	0,5	0,6	0,7	
